variant,canonical
Aleksandr Skryabin,Aleksandr Scriabin
Alexander Scriabin,Aleksandr Scriabin
Anton Bruckner's,Anton Bruckner
Anton Webern's,Anton Webern
Antonin Dvorak,Antonín Dvořák
Antonin Dvořák,Antonín Dvořák
Antonín Dvorak,Antonín Dvořák
Browne,Augusta Browne
Bedrich Smetana,Bedřich Smetana
Bedrich Smetana,Bedřich Smetana
Béla Bartók's,Béla Bartók
Beyoncé Knowles,Beyoncé
Bon Jovi's,Bon Jovi
C. P. E. Bach,Carl Philipp Emanuel Bach
C.P.E. Bach,Carl Philipp Emanuel Bach
Carl Philipp Emanuel Bach,Carl Philipp Emanuel Bach
Carl Phillip Emanuel Bach,Carl Philipp Emanuel Bach
Clara Schumann,Clara Wieck Schumann
Clara Wieck Schumann,Clara Wieck Schumann
Claude Debussy's,Claude Debussy
C. François,Claude François
Claude Francois,Claude François
Dmitri Borisovich Kabalevsky,Dmitri Borisovich Kabalevsky
Dmitri Kabalevsky,Dmitri Borisovich Kabalevsky
Ebenezer Prout,Ebenzer Prout
Elisabeth Jacquet de la Guerre,Élisabeth Jacquet de la Guerre
Élisabeth Jacquet de la Guerre,Élisabeth Jacquet de la Guerre
Elisabeth-Claude Jacquet de la Guerre,Élisabeth Jacquet de la Guerre
Elisabeth-Claude Jacquet de La Guerre,Élisabeth Jacquet de la Guerre
Eliza Jacquet de la Guerre,Élisabeth Jacquet de la Guerre
Elizabeth Jacquet de la Guerre,Élisabeth Jacquet de la Guerre
Elisabeth Lutyens's,Elisabeth Lutyens
Erzsébet Szinyi,Erzsébet Szönyi
Erzsébet Szönyi,Erzsébet Szönyi
27–22.Fanny Hensel,Fanny Mendelssohn Hensel
Fanny Hensel,Fanny Mendelssohn Hensel
Fanny Mendelssohn,Fanny Mendelssohn Hensel
Arkwright,Frances Arkwright
Joseph Haydn,Franz Joseph Haydn
Schubert,Franz Schubert
Chopin,Frédéric Chopin
Frederic Chopin,Frédéric Chopin
Frederick Chopin,Frédéric Chopin
Friedrich Kuhlau,Friedrich Kulhau
Friedrich Kulhau,Friedrich Kulhau
G. F. Handel,George Frideric Handel
George F. Handel,George Frideric Handel
George Friedrich Handel,George Frideric Handel
Gioacchino Rossini,Gioachino Rossini
Gioachino Rossini,Gioachino Rossini
Giovanni Palestrina,Giovanni Pierluigi da Palestrina
Giovanni Pierluigi da Palestrina,Giovanni Pierluigi da Palestrina
Guido d'Arezzo,Guido d'Arezzo
Guillaume Dufay,Guillaume de Machaut
Guillame Dufay,Guillaume Dufay
Jean-Philippe Rameau,Jean Philippe Rameau
Jan Sibelius,Jean Sibelius
Bach,Johann Sebastian Bach
J. S. Bach,Johann Sebastian Bach
J.S. Bach,Johann Sebastian Bach
Johann Sebastian Bach (reduction),Johann Sebastian Bach
Johann Sebastian Bach's,Johann Sebastian Bach
Sebastian Bach,Johann Sebastian Bach
John Coltrane's,John Coltrane
John Cash,John R. Cash
Johnny Cash,John R. Cash
Josephine Lang - Traumbild,Josephine Lang
Josquin des Pres,Josquin des Prez
Ludwig van Beethoven's,Ludwig van Beethoven
Maria Agata Szymanowska,Maria Wolowska Szymanowska
Maria Szymanowska,Maria Wolowska Szymanowska
Maria Wolowska Szymanowska,Maria Wolowska Szymanowska
Modest Mussorgsky,Modest Petrovich Mussorgsky
Modest Petrovich Mussorgsky,Modest Petrovich Mussorgsky
Modeste Mussorgsky,Modest Petrovich Mussorgsky
Nicolò Paganini,Niccolò Paganini
Nicholas Rimsky-Korsakoff,Nikolai Rimsky-Korsakov
Nicholas Rimsky-Korsakov,Nikolai Rimsky-Korsakov
Nikolay Rimsky-Korsakoff,Nikolai Rimsky-Korsakov
Nikolay Rimsky-Korsakov,Nikolai Rimsky-Korsakov
Rimsky Korsakov,Nikolai Rimsky-Korsakov
Rimsky-Korsakoff,Nikolai Rimsky-Korsakov
Lassus,Orlando de Lassus
Orlande de Lassus,Orlando de Lassus
Orlando de Lassus,Orlando de Lassus
Orlando di Lasso,Orlando de Lassus
Peter Ilich Tchaikovsky,Pyotr Ilyich Tchaikovsky
Peter Ilyich Tchaikovsky,Pyotr Ilyich Tchaikovsky
Peter Tchaikovsky,Pyotr Ilyich Tchaikovsky
Piotr Ilich Tchaikovsky,Pyotr Ilyich Tchaikovsky
Piotr Ilyich Tchaikovsky,Pyotr Ilyich Tchaikovsky
Piotr Tchaikovsky,Pyotr Ilyich Tchaikovsky
Pyotr Tchaikovsky,Pyotr Ilyich Tchaikovsky
Vaughan Williams,Ralph Vaughan Williams
Richard Strauss (piano reduction),Richard Strauss
Sergei Rachmaninoff,Sergei Rachmaninov
Sergei Rachmaninov,Sergei Rachmaninov
Sergey Rachmaninoff,Sergei Rachmaninov
Sergei Prokofiev,Sergey Prokofiev
Sergey Prokofiev,Sergey Prokofiev
Tōru Takemitsu,Toru Takemitsu
W. C. Handy,William Christopher Handy
W.C. Handy,William Christopher Handy
Witold Lutosławski,Witold Lutoslawski
Mozart,Wolfgang Amadeus Mozart
Wolfgang Amadeus Mozart's,Wolfgang Amadeus Mozart
