concept,patterns,auto_generated
secondary dominant,secondary dominant|V/V|applied dominant|applied chord|applied chord[s]?|applied dominant|applied leading,0
secondary leading-tone chord,secondary leading[- ]tone|applied leading[- ]tone|secondary leading tone,0
modal mixture,modal mixture|mixture chord|borrowed chord|change of mode|borrowed chord[s]?|borrowing|mode mixture|borrowed[ -]chord[s]?,0
augmented sixth chord,augmented sixth|Italian sixth|German sixth|French sixth|\bIt6\b|\bGer\+6\b|\bFr\+6\b|german[ -]sixth[s]?|french[ -]sixth[s]?|italian[ -]sixth[s]?,0
Neapolitan chord,Neapolitan|\bN6\b|flat[- ]II|Neapolitan sixth,0
binary form,binary form|two[- ]part form|\bAB form\b|two-part \(binary\),0
rounded binary form,rounded binary|incipient three[- ]part form|rounded[ -]binary[s]?,0
ternary form,ternary form|three[- ]part form|\bABA\b|three-part \(ternary\),0
expanded ternary form,expanded ternary,0
bar form,\bbar form\b|\bStollen\b|\bAbgesang\b|Meistersinger|Minnesinger,0
sonata form,sonata form|sonata[- ]allegro,0
rondo,\brondo\b|rondo form|seven[- ]part rondo|five[- ]part rondo|sonata[- ]rondo,0
da capo aria,da capo aria|vocal form|verse[- ]chorus|strophic|through[- ]composed,0
chorus form,chorus form|quarternary form,0
voice leading,voice leading|part writing|part[- ]writing|stylistic practices|part[- ]writing|voice leading|SATB|four[- ]voice|chorale style,0
species counterpoint,species counterpoint|first species|second species|third species|fourth species|fifth species|florid counterpoint|cantus firmus|nota cambiata,0
authentic cadence,authentic cadence|\bPAC\b|\bIAC\b|perfect authentic cadence|imperfect authentic cadence|decorated authentic cadence,0
half cadence,half cadence|Phrygian half cadence|\bHC\b,0
deceptive cadence,deceptive cadence,0
plagal cadence,plagal cadence,0
cadence,\bcadence\b|\bcadential\b|harmonic cadence|rhythmic cadence|drum cadence|melodic cadence,0
dominant seventh chord,dominant seventh chord|\bV7\b|major[- ]minor seventh chord|primary dominant|dominant seventh|dominant 7th|\bV7\b,0
leading-tone seventh chord,leading[- ]tone seventh chord|fully diminished seventh chord|half[- ]diminished seventh chord|diminished[- ]diminished seventh|diminished[- ]minor seventh,0
nondominant seventh chord,nondominant seventh chord|non[- ]dominant seventh|major[- ]major seventh chord|minor[- ]minor seventh chord|diatonic seventh chord[s]?,0
augmented triad,augmented triad|\baug\b(?= triad| chord),0
diminished triad,diminished triad,0
modulation,\bmodulation\b|\bmodulates\b|common chord modulation|pivot chord modulation|chromatic modulation|direct modulation|phrase modulation|harmonizing melodies that modulate,0
tonicization,toniciz|tonicised|tonicized|tonicized chord,0
circle of fifths,circle of fifths|circle progression|circle progressions,0
harmonic progression,harmonic progression|chord progression|ascending fifth progression|descending fifth progression|ascending fourth progression|descending fourth progression|ascending second progression|descending third progression|ascending augmented fourth,0
period,\bperiod\b|antecedent[- ]consequent|parallel period|contrasting period|double period|three[- ]phrase period|four[- ]phrase period|nonperiod construction,0
phrase,\bphrase\b|phrase member|phrase modulation|extended phrase|repeated phrase|dissimilar phrases,0
antecedent phrase,antecedent phrase|antecedent[s]?,0
consequent phrase,consequent phrase|consequent[s]?,0
sequence,\bsequence\b|real sequence|tonal sequence|modulating sequence|false sequence|modified sequence|sequence segment,0
motive,\bmotive\b|\bmotif\b|motivic|rhythmic motive|melodic motive,0
texture,\btexture\b|chordal texture|homophonic|polyphonic|monophonic|homorhythmic|expanded monophonic|textural reduction|four[- ]voice texture,0
nonharmonic tone,nonharmonic tone|non[- ]harmonic tone|passing tone|neighboring tone|accented passing tone|accented neighboring tone|escape tone|anticipation|\bappoggiatura\b|\bretardation\b|pedal tone|pedal point|changing tone|double neighboring tone|successive passing tone|inverted pedal tone|embellishing tone,0
suspension,\bsuspension\b|suspended tone,0
figured bass,figured[- ]bass|figured bass symbol|figured bass system|thoroughbass|basso continuo,0
harmonic rhythm,harmonic rhythm,0
Roman numeral analysis,Roman numeral|macro analysis|harmonic analysis|analysis symbol,0
functional harmony,functional harmony|harmonic function|diatonic[ -]harmony[s]?,0
major scale,major scale|major key,0
minor scale,minor scale|harmonic minor|melodic minor|natural minor|harmonic form|melodic form|natural form|melodic minor( scale)?|harmonic minor( scale)?|natural minor( scale)?|natural[ -]minor[ -]scale[s]?|harmonic[ -]minor[ -]scale[s]?|melodic[ -]minor[ -]scale[s]?,0
church modes,church mode|modal scale|Dorian mode|Phrygian mode|Lydian mode|Mixolydian mode|Aeolian mode|Locrian mode|Ionian mode|authentic mode|plagal mode|musica ficta,0
pentatonic scale,pentatonic|gapped scale|nongapped pentatonic,0
whole-tone scale,whole[- ]tone scale,0
octatonic scale,octatonic|diminished scale,0
blues scale,blues scale|blue note|\bblues\b,0
chromaticism,chromaticism|chromatic harmony|chromatic scale|chromatic modulation,0
transposition,\btransposition\b|\btranspose\b|tonal transposition|interval transposition|nontonal transposition|clef transposition,0
intervals,\binterval\b|augmented interval|diminished interval|\btritone\b|perfect fifth|perfect fourth|compound interval|simple interval|harmonic interval|melodic interval|interval inversion|enharmonic interval|unison|enharmonic equivalents,0
meter,\bmeter\b|\bmetre\b|time signature|meter signature|asymmetrical meter|compound meter|simple meter|duple meter|triple meter|quadruple meter|compound division|simple division,0
syncopation,\bsyncopation\b|\bsyncopated\b,0
rhythm,\brhythm\b|rhythmic cadence|rhythmic motive|rhythmic support|harmonic rhythm|divisive rhythm|additive rhythm|pulse|\bbeat\b,0
jazz harmony,\bjazz\b|tritone substitution|four[- ]chord formula|blues progression|twelve[- ]bar blues|lead sheet|fake sheet|changes|jazz blues|jazz theory|jazz harmony|chord[- ]scale,0
popular music,popular music|pop music|chord symbol|slash chord|popular music symbol,0
imitation,\bimitation\b|\bimitative\b|\bcanon\b|\bcanonic\b,0
parallel fifths and octaves,parallel (?:perfect )?fifth|parallel (?:perfect )?octave|consecutive fifth|consecutive octave|parallel unison|unequal fifth|parallel fifth[s]?|parallel 5th[s]?|parallel octave[s]?|parallel unison[s]?,0
contrary motion,contrary motion,0
oblique motion,oblique motion,0
similar motion,similar motion,0
stepwise motion,stepwise motion|conjunct motion|stepwise,0
voice crossing,voice crossing|crossing voices,0
voice spacing,voice spacing|close position|open position|octave doubling,0
doubling,\bdoubling\b|doubled leading tone,0
