composer
Anon
Edmund Angerer
C. P. E. Bach
Johann Sebastian Bach
Béla Bartók
Ludwig van Beethoven
Hector Berlioz
Georges Bizet
Alexander Borodin
Louis Bourgeois
Johannes Brahms
Friedrich Franz Burgmüller
Antonio Caldara
Henry Carey
Elliott Carter
Antonio Cesti
Frederic Chopin
Jeremiah Clarke
Aaron Copland
Arcangelo Corelli
François Couperin
Johann Crüger
Claude Debussy
Buddy DeSylva
Anton Diabelli
Antonín Dvořák
Stephen Foster
César Franck
Johann Joseph Fux
Roger Graham
Edvard Grieg
George F. Handel
William Christopher Handy
James Hanley
Annie Harrison
John Hatton
Franz Joseph Haydn
Victor Herbert
Charles Ives
Carrie Jacobs-Bond
Elisabeth Jacquet de la Guerre
Charles Leslie Johnson
James Price Johnson
Al Jolson
Scott Joplin
Josquin des Prez
Jerome Kern
L. Viola Kinney
Johann Philipp Kirnberger
Victor A. Lalo
Franz Liszt
Ballard MacDonald
Cecil Mack
Gustav Mahler
Joseph McCarthy
Felix Mendelssohn
James V. Monaco
Claudio Monteverdi
Thomas Morley
Leopold Mozart
Wolfgang Amadeus Mozart
Modeste Mussorgsky
Johann Pachelbel
Giovanni Pierluigi da Palestrina
Bernardo Pasquini
Henry Purcell
Jean Philippe Rameau
Maurice Ravel
Louise Reichardt
Nicholas Rimsky-Korsakoff
Johann C. H. Rinck
Vincent Rose
Alessandro Scarlatti
Domenico Scarlatti
Franz Schubert
Clara Wieck Schumann
Robert Schumann
Bedrich Smetana
Samuel Francis Smith
John Philip Sousa
Sir Arthur Sullivan
Maria Wolowska Szymanowska
Thomas Tallis
Billy Taylor
Peter Tchaikovsky
Georg Philipp Telemann
Bernart de Ventadorn
Giuseppe Verdi
Antonio Vivaldi
Richard Wagner
Émile Waldteufel
Johann Gottfried Walther
Carl Maria von Weber
Spencer Williams
Julian Adderley
Samuel Adler
Anonymous
Luis Enrique Bacalov
Reginald Bain
Samuel Barber
Georg Benda
Alban Berg
Pierre Boulez
William Byrd
Hoagy Carmichael
Ernest Chausson
Frédéric Chopin
Henry Cowell
George Crumb
Luigi Dallapiccola
Mario Davidovsky
John Dykes
Redd Evans
Ross Lee Finney
J. C. Fischer
Robert Franz
George Gershwin
Philip Glass
Carl Heinrich Graun
Lionel Hampton
George Frideric Handel
Jon Hendricks
Fanny Mendelssohn Hensel
Paul Hindemith
Kent Kennan
Joseph Kosma
Ben Kynard
Paul Lansky
Frederick Loewe
David Mann
Olivier Messiaen
Darius Milhaud
Bernie Miller
Conlon Nancarrow
Charlie Parker
Dorothy Payne
Krzysztof Penderecki
Cole Porter
George R. Poulton
Ebenzer Prout
Giacomo Puccini
Steve Reich
Carl Reinecke
Lionel Richie
Terry Riley
Nikolai Rimsky-Korsakov
Richard Rodgers
John Fitz Rogers
Nino Rota
Arnold Schoenberg
Alexander Scriabin
Horace Silver
Louis Spohr
Karlheinz Stockhausen
Richard Strauss
Igor Stravinsky
Pyotr Tchaikovsky
Edgard Varèse
Georg Joseph Vogler
Mayme Watts
Andrew Lloyd Webber
Anton Webern
Sid Wyche
Carl Philipp Emanuel Bach
Amy Beach
Nathaniel Dett
Gaetano Donizetti
Manuel de Falla
Louise Farrenc
Gabriel Fauré
Enrique Granados
Joseph Haydn
Celeste Heckscher
Elizabeth Jacquet de la Guerre
Fritz Kreisler
Josephine Lang
Orlando de Lassus
Alma Mahler
Marianne Martínez
Modest Mussorgsky
Niccolò Paganini
Giovanni Palestrina
Maria Theresia von Paradis
Nikolay Rimsky‑Korsakov
Gioachino Rossini
Joseph Bologne Chevalier de Saint‑Georges
Johann Hermann Schein
Clara Schumann
Clara Scott
Jane Sloman
Maria Szymanowska
Pauline Viardot‑García
Henryk Wieniawski
Hugo Wolf
Carl Friedrich Zelter
J. R. Abbott
Sakari Abe
Pedro Ximénez Abril Tirado
H. Leslie Adams
Julián Aguirre
Juan Alais
Juan Bautista Alberdi
Amancio Alcorta
Amanda Aldridge
Vittoria Aleotti
Christian Alejandro Almada
Ignacio Alvarez
Juan Enrique Amelong
José André
Elfrida Andrée
Mary Anguera
Eva Applefield
Violet Archer
Harold Arlen
Emma Louise Ashford
Marianne Auenbrugger
Josepha Barbara Aurnhammer
Johann Jacob Bach
Rose Giacinta Badalla
Tekla Bądarzewska-Baranowska
Antonio María Barbieri
Basile Barès
Julie Baroni-Cavalcabò
Herman Bemberg
"Ben Bernie, Maceo Pinkard"
Joseph Bologne
Margaret Bonds
Mélanie Hélène Bonis
Lili Boulanger
Alfonso Broqua
Augusta Browne
