composer,sex,bipoc,race,country,continent,latitude,longitude,born,died
A. J. R. Conner,M,Y,BIPOC,USA,North America,,,1844,1860
A.W. Bach,M,N,White,Germany,Europe,52.52,13.405,1796,1869
AC/DC,Unknown,N,White,UK,Europe,55.8617,-4.2583,,
Aaron Copland,M,N,White,USA,North America,40.65083333,-73.94972222,1900,1990
Abby Hutchinson,F,N,White,USA,North America,42.8354,-71.6492,1829,1892
Ace Frehley,M,N,White,USA,North America,40.84666667,-73.87333333,1951,
Adelaide Suzanne Camille Delaval,F,N,White,France,Europe,,,1763,1804
Adele,F,N,White,UK,Europe,51.6056,-0.0682,1988,
Adolphus Hailstork,M,Y,BIPOC,USA,North America,43.16555556,-77.61138889,1941,
Adrian Willaert,M,N,White,Belgium,Europe,50.9333,3.1539,1490,1562
Aerosmith,M,N,White,USA,North America,40.7128,-74.006,1948,
Agathe Backer Grøndahl,F,N,White,Unknown,Europe,,,1847,1907
Al Dubin,M,N,White,Switzerland,Europe,47.37444444,8.541111111,1891,1945
Al Green,M,Y,BIPOC,USA,North America,35.01,-90.78861111,1946,
Al Jolson,M,N,White,Lithuania,Europe,55.08333333,23.41666667,1886,1950
Al McKay,M,Y,BIPOC,USA,North America,29.97611111,-90.07833333,1948,
Alan Menken,M,N,White,USA,North America,40.72833333,-73.99416667,1949,
Alban Berg,M,N,White,Austria,Europe,48.20833333,16.3725,1885,1935
Alecia Moore,F,N,White,USA,North America,40.3101,-75.1299,1979,
Aleksandr Scriabin,M,N,White,Russia,Europe,55.75055556,37.6175,1872,1915
Alessandro Scarlatti,M,N,White,Italy,Europe,38.11565806,13.36126194,1660,1725
Alexander Borodin,M,N,White,Russia,Europe,59.95,30.31666667,1833,1887
Alexander Gretchaninoff,M,N,White,Russia,Europe,55.75055556,37.6175,1864,1956
Alexandra Thomson,F,N,White,UK,Europe,53.9614,-1.0739,1867,1907
Alfonso Broqua,M,N,White,Uruguay,South America,-34.90591667,-56.19131111,1876,1946
Alfred Schnittke,M,N,White,Russia,Europe,51.50166667,46.12222222,1934,1998
Alfredo Catalani,M,N,White,Italy,Europe,43.85,10.51666667,1854,1893
Alice Charbonnet,F,N,White,USA,North America,39.1031,-84.512,1858,1914
Alice Charbonnet-Kellermann,F,N,White,USA,North America,39.1031,-84.512,1858,1914
Alice Ellen Charbonnet,F,N,White,USA,North America,39.1031,-84.512,1858,1914
Alice Nevin,F,N,White,USA,North America,,,1837,1925
Alicia Keys,F,Y,BIPOC,USA,North America,40.7128,-74.006,1981,
Alicia Scott,F,N,White,UK,Europe,55.7194,-2.74855,1810,1883
Allan,M,Y,BIPOC,Philippines,Asia,15.145,120.5887,1974,
Allee Willis,F,N,White,USA,North America,42.33166667,-83.0475,1947,
Alma Mahler,F,N,White,Austria,Europe,48.20833333,16.3725,1879,1964
Aluna Francis,F,Y,BIPOC,UK,Europe,51.5074,-0.1278,1988,
Amalia Hjelm,F,N,White,Sweden,Europe,60.61444444,15.62972222,1846,1916
Amalie Wilhelmina Koch,F,N,White,Germany,Europe,49.8175,7.719,1845,1924
Amancio Alcorta,M,N,White,Argentina,South America,-27.78444444,-64.26694444,1842,1902
Amanda Aldridge,F,N,White,UK,Europe,51.4196,-0.0877,1866,1956
Amanda Maier,F,N,White,Sweden,Europe,55.87941641,12.83700384,1853,1894
Ambroise Thomas,M,N,White,France,Europe,49.11972222,6.176944444,1811,1896
Amy Beach,F,N,White,USA,North America,43.17972222,-71.82222222,1867,1944
Andreas Makris,M,Y,BIPOC,Greece,Europe,40.64027778,22.93555556,1930,
Andrew Lloyd Webber,M,N,White,UK,Europe,51.5004,-0.1909,1948,
Ann Bartholomew,F,N,White,UK,Europe,51.50722222,-0.1275,1800,1862
Ann S. Mounsey,F,N,White,UK,Europe,51.50722222,-0.1275,1811,1891
Ann Wilson,F,N,White,USA,North America,32.7157,-117.1611,1950,
Anna Amalia Brunswick-Wolfenbüttel,F,N,White,Unknown,Europe,,,1739,1807
Anna Bon,F,N,White,Italy,Europe,44.4949,11.3426,1738,1767
Anna Magdalena Bach,F,N,White,Germany,Europe,51.0443,12.1403,1701,1760
Anne Boleyn,F,N,White,UK,Europe,52.8117,1.23168,1501,1536
Anne Danican Philidor,F,N,White,France,Europe,48.85666667,2.352222222,1681,1728
Annette von Droste-Hülshoff,F,N,White,Unknown,Europe,,,1797,1848
Annie Harrison,F,N,White,India,Asia,22.5675,88.37,1851,1944
Anton Bruckner,M,N,White,Austria,Europe,48.20833333,14.28888889,1824,1896
Anton Diabelli,M,N,White,Austria,Europe,47.96972222,13.10361111,1781,1858
Anton Webern,M,N,White,Austria,Europe,48.20833333,16.3725,1883,1943
Antonio Caldara,M,N,White,Italy,Europe,45.43972222,12.33194444,1670,1736
Antonio Cesti,M,N,White,Italy,Europe,43.46305556,11.87805556,1623,1669
Antonio María Barbieri,M,N,White,Unknown,Unknown,,,1892,1979
Antonio Vivaldi,M,N,White,Italy,Europe,45.43972222,12.33194444,1678,1741
Antonín Dvořák,M,N,White,Czech Republic,Europe,50.2613,14.3006,1841,1904
Aqua,F,N,White,Denmark,Europe,55.6761,12.5683,1973,
Arcangelo Corelli,M,N,White,Italy,Europe,44.46666667,11.95,1653,1713
Ariana Grande,F,N,White,USA,North America,26.36861111,-80.1,1993,
Arnold Schoenberg,M,N,White,Austria,Europe,48.20833333,16.3725,1874,1951
Artemis Johnson,F,N,White,Unknown,Unknown,,,,
Arthur Sullivan,M,N,White,Italy,Europe,51.50722222,-0.1275,1842,1900
Arvo Pärt,M,N,White,Unknown,Europe,,,1935,
Aubrey Graham,M,Y,BIPOC,Canada,North America,43.6532,-79.3832,1986,
Augusta Browne,F,N,White,UK,Europe,53.34972222,-6.260277778,1820,1882
Augusta Mary Anne Holmès,F,N,White,Unknown,Europe,,,1847,1903
Bad Bunny,M,Y,BIPOC,Unknown,North America,,,1994,
Ballard MacDonald,M,N,White,USA,North America,45.51666667,-122.6666667,1882,1935
Barbara Ployer,F,N,White,Austria,Europe,48.2,14,1765,1811
Barbara Strozzi,F,N,White,Italy,Europe,45.43972222,12.33194444,1619,1677
Barry Gordy,M,Y,BIPOC,USA,North America,42.3314,-83.0458,1929,
Barry Mann,M,N,White,USA,North America,40.65083333,-73.94972222,1939,
